dataset_id,num_points,num_centers,num_cores,time_seconds,total_map_time_ms,total_reduce_time_ms
1,10000,10,1,0.1648101806640625,0,0
1,10000,10,2,0.16070842742919922,0,0
1,10000,10,4,0.15006303787231445,0,0
1,10000,10,8,0.14792370796203613,0,0
2,20000,15,1,0.1561107635498047,1,0
2,20000,15,2,0.12335610389709473,0,0
2,20000,15,4,0.1105489730834961,0,0
2,20000,15,8,0.12209606170654297,0,0
3,40000,15,1,0.21724915504455566,100,0
3,40000,15,2,0.15935111045837402,0,0
3,40000,15,4,0.13434600830078125,0,0
3,40000,15,8,0.143233060836792,0,0
4,80000,20,1,1.1792051792144775,166,0
4,80000,20,2,0.7853841781616211,83,0
4,80000,20,4,0.6063587665557861,2,0
4,80000,20,8,0.5467996597290039,0,0
5,160000,20,1,2.1580257415771484,321,0
5,160000,20,2,1.4341099262237549,159,0
5,160000,20,4,1.0764062404632568,64,0
5,160000,20,8,0.9619367122650146,64,0
6,320000,25,1,1.6214733123779297,1339,0
6,320000,25,2,0.9280116558074951,698,0
6,320000,25,4,0.6010181903839111,304,0
6,320000,25,8,0.45251917839050293,209,0
7,640000,25,1,3.1101903915405273,2714,0
7,640000,25,2,1.7856204509735107,1428,0
7,640000,25,4,1.1184566020965576,702,0
7,640000,25,8,0.9209177494049072,512,0
8,1280000,30,1,7.14411473274231,6499,0
8,1280000,30,2,3.9550511837005615,3309,0
8,1280000,30,4,2.3996636867523193,1722,0
8,1280000,30,8,1.6254119873046875,947,0
9,2560000,30,1,14.040735006332397,12902,0
9,2560000,30,2,7.738588571548462,6614,0
9,2560000,30,4,4.700995206832886,3554,0
9,2560000,30,8,3.2058353424072266,1963,0
10,5120000,35,1,31.84932589530945,29692,0
10,5120000,35,2,17.679561376571655,15553,0
10,5120000,35,4,10.639220237731934,8476,0
10,5120000,35,8,7.1150665283203125,4795,0
