dataset_id,num_points,num_centers,num_cores,time_seconds,total_map_time_ms,total_reduce_time_ms
1,10000,10,1,0.2833719253540039,0,0
1,10000,10,2,0.3778500556945801,0,0
1,10000,10,4,0.389171838760376,0,0
1,10000,10,8,0.45082783699035645,0,0
1,10000,10,16,0.5880072116851807,0,0
1,10000,10,24,0.811227560043335,0,0
1,10000,10,32,1.0451812744140625,0,0
2,20000,15,1,0.36711788177490234,59,0
2,20000,15,2,0.4460165500640869,0,0
2,20000,15,4,0.4356381893157959,0,0
2,20000,15,8,0.48339176177978516,0,0
2,20000,15,16,0.5926649570465088,0,0
2,20000,15,24,0.830211877822876,0,0
2,20000,15,32,1.2639877796173096,0,0
3,40000,15,1,0.599238395690918,170,0
3,40000,15,2,0.5794947147369385,85,0
3,40000,15,4,0.5194051265716553,0,0
3,40000,15,8,0.5134868621826172,0,0
3,40000,15,16,0.6624016761779785,0,0
3,40000,15,24,0.8770236968994141,0,0
3,40000,15,32,1.0930967330932617,0,0
4,80000,20,1,1.1681971549987793,576,0
4,80000,20,2,0.9209184646606445,288,0
4,80000,20,4,0.730658769607544,96,0
4,80000,20,8,0.6609163284301758,0,0
4,80000,20,16,0.783613920211792,0,0
4,80000,20,24,0.9605381488800049,0,0
4,80000,20,32,1.2044506072998047,0,0
5,160000,20,1,1.8186793327331543,950,0
5,160000,20,2,1.3119385242462158,438,0
5,160000,20,4,1.0140800476074219,219,0
5,160000,20,8,0.8732357025146484,73,0
5,160000,20,16,0.952843427658081,0,0
5,160000,20,24,1.118469476699829,0,0
5,160000,20,32,1.3543429374694824,0,0
6,320000,25,1,6.147641897201538,4614,0
6,320000,25,2,3.621583938598633,2309,0
6,320000,25,4,2.3147172927856445,1152,0
6,320000,25,8,1.689889669418335,576,0
6,320000,25,16,1.5502521991729736,288,0
6,320000,25,24,1.6251378059387207,144,0
6,320000,25,32,1.8114349842071533,144,0
7,640000,25,1,12.917524099349976,10077,0
7,640000,25,2,7.289243698120117,5044,0
7,640000,25,4,4.390123128890991,2515,0
7,640000,25,8,3.0481677055358887,1257,0
7,640000,25,16,2.5272881984710693,629,0
7,640000,25,24,2.4805099964141846,338,0
7,640000,25,32,2.607823371887207,314,0
8,1280000,30,1,37.82028770446777,32479,0
8,1280000,30,2,20.25871992111206,16204,0
8,1280000,30,4,11.438290357589722,8098,0
8,1280000,30,8,7.145169973373413,4046,0
8,1280000,30,16,5.266422748565674,2025,0
8,1280000,30,24,4.679234981536865,1414,0
8,1280000,30,32,4.556812524795532,1011,0
9,2560000,30,1,69.61227989196777,59241,0
9,2560000,30,2,38.6705687046051,31042,0
9,2560000,30,4,21.069239377975464,14807,0
9,2560000,30,8,13.396324634552002,7702,0
9,2560000,30,16,9.679590702056885,4039,0
9,2560000,30,24,8.427933931350708,2692,0
9,2560000,30,32,7.989312171936035,1964,0
10,5120000,35,1,156.96177673339844,136483,0
10,5120000,35,2,83.37862539291382,68458,0
10,5120000,35,4,46.26730513572693,34087,0
10,5120000,35,8,28.25963282585144,17308,0
10,5120000,35,16,19.787853479385376,8964,0
10,5120000,35,24,16.808656692504883,6015,0
10,5120000,35,32,15.384368181228638,4426,0
