matrix_size,processor_count,run_number,execution_time_seconds,total_time_seconds
1024,1,1,0.0106468,0.3551657199859619
1024,2,1,0.00533788,0.43781352043151855
1024,4,1,0.00264822,0.47423887252807617
1024,8,1,0.00205315,0.5460479259490967
1024,16,1,0.000749431,0.6755356788635254
1024,24,1,0.000528679,0.9063220024108887
1024,32,1,0.000399273,1.1534790992736816
16384,1,1,14.1067,185.9826192855835
16384,2,1,7.10944,184.3440043926239
16384,4,1,3.70046,182.91012597084045
16384,8,1,1.91285,187.8045618534088
16384,16,1,0.960846,185.7478461265564
16384,24,1,0.642008,186.51205897331238
16384,32,1,0.527528,187.32275915145874
2048,1,1,0.0823944,1.1514015197753906
2048,2,1,0.0408429,1.1480698585510254
2048,4,1,0.020603,1.1597392559051514
2048,8,1,0.01092,1.2503557205200195
2048,16,1,0.00567137,1.4385643005371094
2048,24,1,0.00392794,1.6247727870941162
2048,32,1,0.00302592,1.9520995616912842
4096,1,1,0.284554,5.449623346328735
4096,2,1,0.149297,5.4810614585876465
4096,4,1,0.0717142,5.590061187744141
4096,8,1,0.0387628,5.743257999420166
4096,16,1,0.0200809,5.93536114692688
4096,24,1,0.0134898,6.137664318084717
4096,32,1,0.0107887,6.455186605453491
8192,1,1,2.17641,32.59250521659851
8192,2,1,1.11241,32.960203647613525
8192,4,1,0.577956,32.963496685028076
8192,8,1,0.294855,33.65596389770508
8192,16,1,0.152358,33.8181471824646
8192,24,1,0.10177,33.925169944763184
8192,32,1,0.0828107,34.461652517318726
